	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	mean	median	std	min	max	model
-24	1.0608732969100743	-2.3336121906506264	6.310736785998188	0.38106425234178687	5.0714092003051405	2.636837289460402	6.0685832156041215	4.984395390849102	-3.7593021880632023	4.018588033442882	10.918519563461189	3.8893416995585994	-3.4797869255515934	19.200418726598457	5.098285312083533	0.024393675397561765	8.826262161306943	8.622721171202045	6.884717975156548	3.0003403853833674	-3.238080764443964	-7.122320023710984	7.632934968070174	10.092393402641505	1.1362111324379498	1.6817039300681813	2.7442764291556045	0.7857968787146774	-1.4669922062767	-10.548401365664631	-4.093217700608761	3.097609739304005	-2.755377107961749	2.34170861670151	-1.467658779987005	-0.933292933272071	-6.756717294554392	3.3650000574596675	-3.332878213298784	14.162229766627263	-3.035909430682807	-1.2965338406689852	-0.10602976320700463	-5.9443336302031184	8.673052574156202	-7.773912979107706	-1.2854324713815117	2.223227411706034	14.832764611743755	0.8509921590370482	5.632770946104301	1.4305619261998004	-1.0840848663315796	9.37790490771954	11.058256640058005	1.2240626006735056	6.063940588473258	12.650334295139828	-4.343749543995841	-1.6300928698899497	2.235185429659964	8.39060182377085	1.1118908983632991	1.5239269572909961	2.3210878435043583	3.619405532126848	3.591002132330459	-0.8537881306414761	18.84205848277611	0.7727050994600972	2.1526321804967097	-7.603398090446603	4.807727220439119	6.575477223244889	2.5648720935964207	1.1893251554172934	7.068156655955022	12.617913647739272	1.6099689437998563	0.7744597217047158	3.985098154283037	0.9055273335878269	-37.21703882808026	-0.3598392465305551	5.940200547524967	3.5879071194593166	7.1665266599784445	0.818911777950575	3.729826323816667	0.0032557767806906668	2.087637808254442	8.15003592393333	2.877951020452713	-4.577158709493858	-2.4943530069092503	5.348794985306029	0.6721480192421154	8.01234189956324	4.424913962367157	-1.6180201553939355	-18.007152497332697	5.4821271308277915	10.584732803803718	-10.780975915559964	3.8606492428342563	-6.062374899290262	1.932345666081062	4.336540046122195	-21.3472170556542	5.1811592252156515	0.2971125410833224	9.731221439212447	0.22307321226708154	-5.071389171507803	5.639833213624911	-2.1402041870495054	6.655154211023614	1.1186026195431964	1.6703420620342513	2.763040026854128	-25.42413437204783	-0.6651534691017105	5.119855182058757	8.74557643255605	1.8863870436491652	11.826824587204896	3.1605419995921693	-7.475294951305784	1.7051922264153014	2.087637808254442	7.337846271045294	-37.21703882808026	19.200418726598457	2.0830902861325535
-22	0.39571675227307423	-1.6345797101178619	3.740560202941481	-0.09243637804325999	5.204282727043903	2.178646267893612	4.774650724465232	5.923900750566133	-3.6137808130413873	3.9606908908523337	9.729271521493331	3.9591929710654767	-4.2042279382539505	17.159114446259025	8.065824817305668	-0.10521400207051101	8.736605790659269	9.023472058502591	7.0828975497094575	3.1897916149737284	-2.605779399190851	-6.946369760644586	7.521370162353662	11.140238376714308	1.5854108824715922	1.708738741804666	2.6360353956212634	1.2579262188263556	-0.06707916648974788	-10.052980691118876	-3.6363426533808934	2.1180237533702098	-2.6489981146154378	2.294040247913699	-1.8137762543863118	-2.086857818315991	-6.210091526747476	3.4744953921392607	-2.646946953330314	13.20978399941555	-2.959011159792624	-1.7708754896942764	0.11781084800782082	-3.230149196414004	9.767586876823259	-7.546831447758848	-0.8532042205274024	2.0901452359257178	13.88846344962775	0.9812743462511548	5.286709319135753	2.6750494743619697	-0.7560248939226426	8.57998507072648	9.569824033554994	0.788004133525817	6.2308865046570645	11.270392713575063	-4.511591489281614	-1.7249003419206588	3.0732633068352584	8.813326682409581	1.7439130932224316	1.9664144594079858	2.8297919254486033	3.047965127791599	3.489636023771311	1.2600796282014812	18.865882408616983	-0.09848202248025473	2.0027209078614874	-7.163522015021783	4.958010503370929	6.161248251344034	3.3528612349577998	1.1701614156555138	6.542285166694455	11.239813694202667	1.028591269649894	0.16992106369281146	3.209475023583707	1.1151324711886446	-37.80382210387285	0.031619861169360775	5.911693970370152	3.214579402514005	6.68886057665344	0.5112257730633019	2.929921576261563	-0.016278883902941743	1.1104780605153906	8.869551604441199	3.051575122235022	-3.4338205452397688	-2.5382059078746124	4.951693865137088	0.3267469780200827	7.452523964230863	4.764723715737603	-1.4837831891098858	-16.72062037652705	4.732591437091003	9.791666403859267	-10.705949456843484	4.033510323350072	-5.675672721151159	2.880543819195111	2.5333481240360243	-21.919050171262086	3.997810284600746	-0.05570860145314782	10.055692824858113	0.4120025655135464	-4.9025806243080865	5.364884688576524	-2.0431455585897424	6.276469375398506	0.794008109407855	2.1500300388235587	2.205814711905532	-22.565412481201406	-0.8833796728752645	6.3097139332535335	7.743275113066488	1.8447520155210668	11.548395178234102	3.786628849047304	-7.838613407963237	1.688027679906766	2.1180237533702098	7.0968815129760205	-37.80382210387285	18.865882408616983	2.1080489168834387
-20	-0.36111906776295655	-0.5939148142871318	1.7961833268026908	-0.9413418906858624	4.077237948074867	1.3264061268810678	3.0928142471124147	5.739515855687841	-3.3227380629977574	4.00911395556443	8.54498851481128	4.026181485543361	-4.854567013548888	14.141583282818715	10.325775827365419	-0.2409852060625326	8.58989536596306	8.961918489493542	7.058630663029533	3.591416569143746	-0.9569476771154655	-6.552925422398687	7.605943482816201	12.418690159752941	2.0095082935328037	1.1919579174576143	1.9955414603468284	1.6323736265011917	1.5052710784584065	-8.330962925610322	-3.7128871639112617	1.7690312030989617	-2.5933909135480917	1.7771363738708033	-2.367219389042191	-2.8146983195072153	-5.722658383520809	3.1049119434485988	-1.976261556310476	13.648612441068337	-2.8821128889024408	-1.834121042897607	0.15802231927006005	-0.7937391126877174	10.862831869901811	-7.337007017103531	-0.4631720241010271	2.0306829871728382	12.539015100170445	1.2011832863715313	4.248524438230049	4.081661233091609	-0.9423592408574564	7.832756611612808	8.231052043233149	0.25897888658016655	6.304849885244835	10.39211867940304	-4.911055319061745	-2.3344478584324975	3.5271443843403176	8.597098051013802	3.0898862859779115	1.9139059424900893	3.2573924363173887	2.079232965264282	3.5931568647674794	3.6242796619860087	18.234903954816048	-0.9696691444206067	1.3313994900917692	-6.680389428024625	4.219080533584474	5.74120947348888	4.097869150426732	1.0762982004960122	5.519074778396828	10.279098753646167	-0.3577708764000249	-0.9738255906584641	3.171266987588581	1.0310418725068757	-37.904444435738924	0.7604445950645982	5.519728534491151	2.8539270032792956	5.891215027674605	0.6821165225876484	1.7580714940708049	-0.46177767338144804	0.33469244997928627	9.498446068045382	3.1120804910378865	-1.927384974628069	-2.2522849935804743	4.6889608306605055	-0.14923250561514578	7.034961707532943	5.156243648968712	-1.355781594616417	-15.117926190034495	5.792573991504241	9.018877269822553	-10.248043407177306	3.289211874748105	-5.309578496079041	3.3138282090017697	0.6738781047398561	-21.832889104802348	2.743080516364614	-0.9841852923383954	10.270097766082642	0.9218841935522164	-4.213080924478163	5.012001810477443	-2.046831329290683	5.958046062580024	0.6791515904369021	2.545441038123954	1.4764896763326192	-19.99823967397458	-0.837988622490343	7.472291972339747	6.758694381421549	1.3662694614952784	11.278532828000891	4.373344022396111	-7.825157168827843	1.6282275482189759	1.7771363738708033	6.845839068184475	-37.904444435738924	18.234903954816048	1.865701247329185
-18	-1.6045249760529714	-0.047302949810443806	2.0228124613757927	-1.7789286631599452	2.4854281305757695	0.7239563367702999	1.1496175010071283	5.904318788862042	-2.47386337537057	3.829106475873857	7.084535594612248	3.6660466512989274	-5.180459768303194	10.989889455562775	12.501173432390942	-0.9380713748961966	8.415472972157545	8.858191186416263	6.7274887718760965	3.9930415233138774	0.12777426370575995	-4.95471053287838	7.879714261821164	12.719008068865037	1.9778000758833514	0.3680893597964996	1.695233630465907	1.9872846476885684	3.106057057027215	-6.898635588203149	-3.3770481239594687	1.3165443103335974	-2.681234173205212	0.8639891842791485	-2.9236797370489853	-3.996218207604784	-5.086337669283694	2.378367832638787	-1.229214271826038	13.968869638754768	-1.860137727443771	-2.308462691922898	0.10057736032405273	1.8315375498068533	11.332456093784856	-7.2501736691692145	-0.14698292292302995	1.9193092514134378	10.878819900297515	0.8814837347680395	3.7306679321592355	4.822274104092628	-1.3601013303696732	6.467844325744522	6.870859701066195	0.057550863684525666	6.315416082471643	9.514698628194196	-5.709982978622065	-3.1477569836805515	4.03857720916443	8.399911079917047	4.400747134574544	1.5888251242681122	3.3067772840515204	0.6638507583468254	3.7585091583043777	6.088391072760487	17.374753557664974	-1.8711584271241009	0.6924026904840161	-6.651754835857048	3.4770289525798717	5.3959846880980535	4.216230329304722	1.0790358776048379	4.341312859721256	9.503167857671087	-1.5205262246998927	-2.39791132843078	3.075746897600993	0.8703169843860792	-38.20931687733082	1.7239357366464674	4.400845381163776	2.3025506828678317	5.146541127280443	0.36017240196008515	0.4952355810169138	-0.620768106167418	-0.48375502064521925	9.532009481713374	3.1699551916320274	0.26718488392350537	-2.059332229332938	4.416137417125356	-0.6017439742544184	7.126172701480982	5.83586315570966	-1.4144882082673575	-13.086785851601746	5.530239910950229	8.894960644831201	-10.111854074507164	2.4116291070482703	-5.041675106208402	3.6254794263736017	-0.05419372323916605	-21.29478885955365	1.7376997069882805	-1.856953381770495	10.608158988233356	1.281532841900912	-3.775605252861908	4.315433276067836	-1.9608300129339682	5.487007768925821	0.304619463357767	3.1165902593356805	1.2464986878965192	-17.436338268816087	-0.975907583275216	7.896716897258784	5.5114137071683444	0.26902633559677724	10.464662247932438	4.7439009739848075	-7.680679653899745	1.499194186933778	1.695233630465907	6.633670061463803	-38.20931687733082	17.374753557664974	1.5877430038124112
-16	-2.9341956680018484	0.3994471317330408	2.2494415959488947	-2.695746616814006	1.1786575002290647	0.3059447708718608	-0.4792115595882933	5.991365611327808	-1.9402850002906575	2.860645181632208	6.096819148833049	3.3013314058081846	-5.531053168860012	7.775951892450053	13.897919680494965	-1.7406319764985483	8.124497296510071	8.75175271472034	5.698168328534962	4.482643317057864	1.3225995594223718	-3.763380626699245	8.239600731874646	13.298792799098862	1.9632671427940522	-0.6075900637694645	1.4787515633972816	2.1316368367342875	4.044436266509422	-5.435726727675785	-3.7420697585508833	0.3778746923626386	-2.8996334701509454	0.3522990380724309	-3.5779840037215536	-5.006640004723579	-4.328309670833278	1.7137634419829055	-1.1152017315143326	12.789186245394433	-1.2663915986746588	-2.719558787744802	-0.2568471215245154	5.324226899516873	11.217253178089607	-7.078698351166338	0.19030420546874893	2.036346058482593	11.008657587677646	0.2919799373025853	2.9093895352999652	5.126256998906513	-1.8935472911705915	4.830700566078633	6.446398518450508	-0.10624774834053596	6.524626787562738	9.040643196612223	-5.856341154911263	-3.7602827453870873	4.550943305566648	8.215841697026349	5.805240900928084	1.526876873971787	3.1670543002183535	0.0419606069395968	3.8568773782555468	7.557597840382186	16.39815038867971	-3.0983959380313877	0.3766520724960287	-6.714507239968896	3.835568298209523	5.0774646248131035	4.35608212112902	1.0938975533383655	3.163550941045628	8.70551673189442	-2.906888370749698	-3.481848222095948	3.022255647207942	0.6226018217669207	-37.98354777429074	2.3780226168687477	2.9706704053056114	1.3359586815142848	5.7342961150555425	0.004339426529668344	-0.9640941622070045	-0.7727043559286813	-1.1071768451512867	9.447681404872526	2.9963310898496616	2.018730234089105	-1.8120018678883412	4.114447855903336	-1.2654675778570095	7.14792945233097	6.445304561211003	-1.2362506938761726	-10.68011850889593	5.1858752464145255	8.671910719846835	-10.057622992934967	1.4053580312539111	-4.871962551539184	3.102456784903893	-0.347465140922111	-20.956240895586802	1.2918719954898847	-2.005509652312128	10.57592524379578	1.907503590609224	-3.37379335882315	3.5661017324499653	-1.9854018176072827	5.07337838161402	-0.18476918269237785	3.614238903458727	1.0216671931174233	-15.37546335561916	-1.2657119818865112	8.248480694735065	4.055216628852918	-0.9742596581970702	9.886385783147034	4.858542030882518	-7.620480689346323	1.347102168673401	1.4053580312539111	6.500776798911943	-37.98354777429074	16.39815038867971	1.3588804842284028
-14	-3.692132740595241	0.7095442471573392	3.3948875861557326	-3.40505433404428	0.11750663238314019	-0.034128332826696806	-1.902751780718063	5.945912590729961	-1.6007351252397939	2.3558873657747768	6.111470072627014	2.5106379144066864	-6.077360244941815	5.27475348085801	14.168870591907819	-2.7134274444872517	8.789584555132876	9.35443545728549	4.91252787227171	4.9280624816560135	2.254173623887027	-2.488963096294299	8.693314745906378	12.719786094536289	1.862857786904101	-1.4117024128540265	1.0400905327582564	2.008991743785657	4.457118964696576	-4.177992085899746	-3.6698308767378762	0.5740325740668482	-3.103526540731309	-0.3493197650232105	-3.5301396205854303	-5.919724502053214	-3.4784727036462755	0.04021678512361859	-0.8124056360817349	13.481952375396531	-1.0099687399813888	-3.320391543176811	-0.42713734728124564	8.703596301966002	11.132112466798446	-7.109103719055042	0.8847106078334264	2.0998196494132912	10.032194796577528	-0.26056437442832703	2.3229386710264635	5.257982919992514	-2.584517799629566	3.5878230788092083	6.342960766777253	-0.1438771592111152	6.640854957057741	8.865292028164731	-6.451844376785175	-4.547532225181669	4.426196004621147	7.199440185064191	7.256551126160105	1.6419236245221782	2.3933583523835296	-0.38152621223224514	3.955245598206659	8.019272584610746	15.37496611096077	-4.060489542261166	0.1578753089939937	-5.991331476077903	4.021973082380157	5.704821741459227	4.390597347982066	0.9640534390343873	1.8177637688307868	9.450164013304288	-4.248529157249607	-4.607498589880663	3.706179491519208	0.2866536664422483	-37.293858027677004	2.237170508023439	0.9663729655489988	1.0262056049612625	5.332172208842621	-0.4531601133094796	-2.3069501870948557	-0.7178987801219705	-1.5990579343848026	8.962270534698973	2.9042577025408605	3.308220813480773	-1.9558393830546947	4.224420215010866	-1.9989934824731108	7.529509390315411	6.7777271460299175	-1.1434260081635443	-8.596059022795998	4.473260139977242	8.176244219881596	-10.20522939540973	-0.18486177591353226	-4.789530739271299	2.8029688847755665	-0.3307901491562575	-20.145839166715348	0.7594194152172804	-2.2654831257600563	10.571545048558619	2.4128327041118496	-2.7698867251788784	3.0021668175180025	-1.930115257092325	4.646555643155239	-0.8589270114349006	3.646568104659366	1.7369129324400205	-13.205105476389917	-2.0478346962108844	7.569086037417037	2.7420278033181944	-1.8332223154241092	8.909741087064901	5.01178277023746	-7.506456768251098	1.2064286829500754	1.0400905327582564	6.414579211587997	-37.293858027677004	15.37496611096077	1.1977306544639905
-12	-4.6741747086084615	0.9513148795221014	4.9010867192035334	-3.9917423661150337	-0.7346878785173203	0.06801462073968878	-3.026325175225793	4.804155582754959	-1.4067066252106883	1.7611258100719738	6.42996487710451	2.2100484263648354	-5.857279716125106	3.9097451284547446	11.956801510092248	-3.9613245400020105	9.348714284808409	9.116856755367962	4.493924077042664	5.1453827542461	2.4940901935047464	-1.8010464427775332	9.138545721715388	11.851198235125139	1.9566612641170877	-2.1381763282338397	1.0164891043935995	1.8516152970817643	4.038603295510256	-3.5302198234466005	-4.30132308861306	0.6787303391481601	-2.8859331452503056	-0.7425838075227489	-3.681862349089215	-6.621294036519373	-2.6204816504200608	-0.5322119082416634	-0.8539008978463585	14.106532862681831	-0.49969582719711525	-3.4785054261852224	-0.610279665547921	11.249642654226875	9.465756659082388	-7.124169441882714	0.8212758726771767	2.118932515083941	9.781602104076512	-0.5035729931327069	1.817441508776028	4.941103781156187	-2.953933774226016	2.8818987053753062	6.2395230151038845	-0.13502318018271353	6.8088574929642505	8.97593026539937	-6.641841458848717	-4.309520796706522	4.830924779010559	6.3455275076538555	8.380146139242981	1.9327854092470602	1.9814164517719632	-0.7676608148220794	4.06073380360192	9.080415590779069	14.206349211317558	-4.295331288175532	0.0660546545049101	-5.768347205156147	3.8056900194069954	5.682907561105196	4.073610807025318	0.8752744813626236	1.5407598720763644	9.647023857290492	-4.829906831399569	-5.507405450665544	3.9048612786934314	0.09237538672925893	-36.53299931993445	1.8193179624879576	-0.14595367503272882	0.9283679963824625	5.223004550455016	-0.6589729144295688	-3.1104113840648324	-0.6728605346569907	-2.0528480771108093	8.259117018354345	2.6780202365820855	3.2595033417683226	-2.487336542754747	4.540926029027901	-2.5874990892938854	7.345413806200099	6.796195067408746	-1.2889572327852648	-5.16220317168677	3.88048339083781	7.725638310822205	-10.314914816033308	-0.4871771663576965	-4.795591901938053	2.6421428012228603	0.3580954481730032	-19.704466911171494	1.20790878469478	-2.395469862483992	10.760118069153634	2.8066252114809345	-2.5677919855735922	2.5732858435868025	-1.974344505504348	4.269653692820157	-1.5780286954270082	3.634962750382215	2.3471323686785013	-11.134742039470211	-2.8020244564522727	6.513794644988366	2.1264705413487945	-2.7652064065988498	8.584192855037543	5.4004815725811	-7.4320933414498995	1.094382130829409	1.094382130829409	6.3023158817908955	-36.53299931993445	14.206349211317558	1.0965696817180721
-10	-4.890937920312751	1.1037354955780643	7.490724763258925	-4.280370240413504	-1.0992340408144514	0.35919465187799915	-2.996910654944145	4.075049110837028	-1.309692375196164	1.2500519422956131	6.461057393156295	1.7668936382802372	-4.720382424189495	3.6793143032232933	9.42000935141499	-4.73055001223554	10.047218917945372	8.987222729934501	4.197160275352417	4.547023719527601	2.3889709410942714	-1.1571173550273102	9.381469089001541	10.823737533639758	1.8747483685226598	-2.6514911510761863	1.0726442270542975	1.7647869126934097	3.5595705522082426	-3.0153381796425833	-4.657255062579054	1.513905614624889	-3.167998657910914	-0.9660292862156439	-3.6236732344642064	-6.654974763090024	-2.5948113795561767	-1.1712771725781863	-1.4160092361274792	15.03988664993284	-0.09605137181819146	-3.099032106965012	-0.8191261688345435	14.039373719523269	7.949711873387116	-7.220042223513701	0.6493972776417536	2.1932603260250403	9.640299391549206	-0.7927809690052072	1.1135768782095283	4.05402642447217	-3.144914862979647	2.701662695136804	6.558291672167911	-0.1549446329966031	6.596476928705101	9.366200479590134	-6.831838540912258	-4.053143522864218	4.73262017277915	5.640986076589343	8.192880303729169	1.8218685420497422	1.0166051582343698	-0.28523510844576094	3.9890655290660675	10.041647219957383	12.83185092269116	-4.204424805886106	-0.02810836361913971	-6.259399998497429	4.118297085683594	6.190501133956161	3.6265409346744377	0.8877895767171822	1.4452549520222533	10.40253125360124	-5.053513629149506	-5.916258840381317	3.889578064295449	-0.024025885337607633	-35.81866491617308	1.753203707315663	-0.48204621968829997	1.3771534640737286	5.142549061010357	-0.8061001377202501	-3.5354070891385163	-0.7786732800265099	-2.457627868663849	7.232915645455023	2.7543096146379753	2.5736526853149257	-2.273334386043814	4.689854914880868	-3.104397163178419	7.301900304500066	6.807275820236043	-1.4151940994134975	-2.2122591054862255	3.4130728503293994	7.937423088080152	-10.626437720703734	-1.15436476368086	-4.823473250205154	2.919736730312934	1.2843912407693097	-19.13669799681162	1.878767579880389	-2.1540659228538175	10.784602237402453	3.200417718850133	-2.4608006528413284	2.36659038549584	-1.9976877199439969	4.092434894980613	-1.5980037422045257	3.5097907149642538	3.081179652683204	-8.657020870416545	-3.0324713276370403	4.603357853773389	1.5407584799597203	-3.608796130363146	8.190108153109634	5.729736863940616	-7.680679653899745	1.0606152831343096	1.2500519422956131	6.2207747696800215	-35.81866491617308	15.03988664993284	1.03980214937008
-8	-4.755942710991405	0.8882442797747103	10.160904611274077	-4.170955752117322	-1.830414258663609	0.25632556357061276	-2.6644652955111496	3.259896354642592	-1.4067066252106883	0.9321439957075199	6.9398170251359375	1.5367279731510166	-3.6617038439617318	4.434785553194843	5.859835980346475	-5.39551639495852	10.660957527924495	8.616194283786797	4.0156641853920405	3.7846548812323704	1.9360972653002477	-0.6475947182307777	9.53210728289531	9.581074931479748	1.7928354729283456	-3.2081309927269785	1.0612504340506348	1.4250708587739496	2.687905948528396	-2.5910890498126946	-5.018927874834731	2.5741209138971612	-3.174445869628869	-1.2952389581564603	-2.959024236302639	-6.244743513459753	-2.6207836536066793	-1.943615578857191	-2.622288427169849	16.031521218116495	0.3381808716099499	-2.7828043409481893	-0.844343532168466	15.74241956053504	6.076474086899282	-7.489033856546939	-0.5470015188973321	2.1479557555466045	11.012975584161609	-1.1263403277591806	0.6748201725887384	2.954161041418331	-3.5803145714033917	2.83120732749569	7.219504112019422	-0.03984290562766546	6.482361998655449	10.425898449948079	-6.9379146503328	-3.8565793400151165	4.384198783604575	4.990607590375362	7.607674567748461	1.489707923793901	1.0912846840761858	0.4454373100854241	3.919364618929251	10.807265221902583	11.358501120874053	-3.537777269096921	-0.15459599990509787	-6.661502782126831	4.1807293100469565	6.754663870046443	2.819910314658955	0.9292458300793669	2.055535354027768	11.269962669897495	-5.277120426899501	-5.512006201487566	3.9430693146885005	0.007042069840338172	-34.84670368183936	1.4654891027911958	-0.5296522035368412	2.3133445081057857	5.230528059964172	-0.5281702004647855	-3.521477662263692	-0.8844860253959155	-1.677525284190267	5.9163907443276	2.743786941802682	2.448814164051498	-2.059332229332938	5.003423023602352	-2.907025139622988	7.255039610361621	6.5450313366566775	-1.7446099675951814	0.06923256912853049	3.239730351732362	8.324944169871173	-10.750802231076136	-1.97858273695266	-4.851354598472199	2.6426833931003557	2.6857158612970125	-18.88146615843084	3.0283618579422296	-2.2283440581246055	10.137119531190137	3.1890364325099654	-2.3538093201091215	2.3661063211911824	-1.9608300129339682	4.067831077976734	-1.6329600740652381	3.4470665382758057	4.591687007533494	-7.175027002804427	-3.17911933657291	2.8099133471776554	1.1639628226330387	-4.125070479151361	8.070169330783756	5.334476115579321	-7.210419507270956	1.0658800538173554	1.0912846840761858	6.173430040670101	-34.84670368183936	16.031521218116495	1.01179837401371
-6	-4.320122011421802	0.3311206486734477	12.730659950586244	-3.489944885308546	-1.245303052923873	0.43180812597734075	-1.7516959630217457	3.124680765065193	-1.9402850002906007	0.6721331917100883	7.68847923100958	1.4508452622819732	-2.4731799770155476	6.45012806806028	2.8782359088939415	-7.381126848225222	11.299962933268034	8.636678668905631	3.9494358071613647	2.7300980624976887	0.18871624409024434	-0.26636914825343183	9.487378535902963	8.542410660328017	1.7624484310142634	-2.964471086948322	1.695233630465907	0.9833314531981614	1.588755475883147	-3.302804496971646	-4.976828394043082	3.3250566082739397	-3.182504884276284	-0.7626939006050861	-2.084032364533641	-5.878970822902829	-4.39233434639965	-2.0956761240690867	-3.763341839336249	15.767248021818546	0.7186700855684194	-2.49819935153306	-0.6906052437350922	17.445465401546812	3.61698778001022	-7.43698863223301	-1.5173701172188885	2.1378094194499226	12.823109489529884	-1.4155483036317378	1.2075078912438926	1.144081076844941	-3.340542693552152	3.0245855468140803	8.231052043233149	-0.10624774834053596	6.461229604201776	11.203402494460363	-6.980210820544869	-3.197394403591943	4.1707906827351735	4.2420587666197775	6.776682422655938	1.518617107265527	0.9186384684203404	1.5361705436572493	3.8773941784167505	11.564464970354209	9.952533915278707	-2.515079343340858	0.14335265445743062	-7.01547508104909	4.807727220439119	7.482724289900773	1.9509243555646663	1.0598721378430014	3.0303988533353277	11.841739614863457	-4.740464112299549	-4.163066060474705	4.061514226273118	0.23321678353613606	-34.23431400618125	0.7638417702315792	-0.2859209688629676	2.8555114179931707	6.125825691551427	-0.4302231445100233	-2.4987020847117947	-0.6956509721212001	-1.1051453280041983	4.460158133806999	2.7490482782203003	1.6168110924605799	-2.1751038878814484	5.084401508705923	-2.3696677706138303	7.2784699574309	6.14612423487398	-2.0774376429830568	1.9029407190465122	1.880493129465492	8.789068256202256	-11.085567027849038	-1.7952529647069468	-4.869538086472517	2.880543819195111	4.336540046122195	-19.22773610476912	4.115891111309736	-1.856953381770495	9.641146655104478	2.988725792923333	-2.719957436570553	2.4779251755683163	-2.0222595246173114	4.589503313870807	-1.6079912655932844	3.2707756804465475	6.115836413408999	-6.187733944672118	-3.325767345508723	1.0914907988803293	1.8550657485713486	-4.3864103480167955	8.018766978358428	5.0766302367655385	-7.032655506060337	1.1338299833557133	1.1338299833557133	6.226983331744869	-34.23431400618125	17.445465401546812	0.9996669367853435
